,biogas,capacity_ren,capacity_offshore,capacity_pv,demand,insulation,learning,elasticity,gasprices,woodprices,cop
S3887,Biogas-,reference,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S3888,Biogas-,reference,reference,PV-,reference,reference,reference,reference,reference,reference,reference
S3889,Biogas-,reference,reference,PV-,reference,reference,reference,reference,reference,reference,COP+
S3890,Biogas-,reference,reference,PV-,reference,reference,reference,reference,reference,PriceWood+,reference
S3891,Biogas-,reference,reference,PV-,reference,reference,reference,reference,reference,PriceWood+,COP+
S3892,Biogas-,reference,reference,PV-,reference,reference,reference,reference,PriceGas+,reference,reference
S3893,Biogas-,reference,reference,PV-,reference,reference,reference,reference,PriceGas+,reference,COP+
S3894,Biogas-,reference,reference,PV-,reference,reference,reference,reference,PriceGas+,PriceWood+,reference
S3895,Biogas-,reference,reference,PV-,reference,reference,reference,reference,PriceGas+,PriceWood+,COP+
S3896,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity+,reference,reference,reference
S3897,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity+,reference,reference,COP+
S3898,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity+,reference,PriceWood+,reference
S3899,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity+,reference,PriceWood+,COP+
S3900,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity+,PriceGas+,reference,reference
S3901,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity+,PriceGas+,reference,COP+
S3902,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity+,PriceGas+,PriceWood+,reference
S3903,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S3904,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity-,reference,reference,reference
S3905,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity-,reference,reference,COP+
S3906,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity-,reference,PriceWood+,reference
S3907,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity-,reference,PriceWood+,COP+
S3908,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity-,PriceGas+,reference,reference
S3909,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity-,PriceGas+,reference,COP+
S3910,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity-,PriceGas+,PriceWood+,reference
S3911,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S3912,Biogas-,reference,reference,PV-,reference,reference,Learning+,reference,reference,reference,reference
S3913,Biogas-,reference,reference,PV-,reference,reference,Learning+,reference,reference,reference,COP+
S3914,Biogas-,reference,reference,PV-,reference,reference,Learning+,reference,reference,PriceWood+,reference
S3915,Biogas-,reference,reference,PV-,reference,reference,Learning+,reference,reference,PriceWood+,COP+
S3916,Biogas-,reference,reference,PV-,reference,reference,Learning+,reference,PriceGas+,reference,reference
S3917,Biogas-,reference,reference,PV-,reference,reference,Learning+,reference,PriceGas+,reference,COP+
S3918,Biogas-,reference,reference,PV-,reference,reference,Learning+,reference,PriceGas+,PriceWood+,reference
S3919,Biogas-,reference,reference,PV-,reference,reference,Learning+,reference,PriceGas+,PriceWood+,COP+
S3920,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity+,reference,reference,reference
S3921,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity+,reference,reference,COP+
S3922,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity+,reference,PriceWood+,reference
S3923,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity+,reference,PriceWood+,COP+
S3924,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity+,PriceGas+,reference,reference
S3925,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity+,PriceGas+,reference,COP+
S3926,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S3927,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S3928,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity-,reference,reference,reference
S3929,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity-,reference,reference,COP+
S3930,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity-,reference,PriceWood+,reference
S3931,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity-,reference,PriceWood+,COP+
S3932,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity-,PriceGas+,reference,reference
S3933,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity-,PriceGas+,reference,COP+
S3934,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S3935,Biogas-,reference,reference,PV-,reference,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S3936,Biogas-,reference,reference,PV-,reference,reference,Learning-,reference,reference,reference,reference
S3937,Biogas-,reference,reference,PV-,reference,reference,Learning-,reference,reference,reference,COP+
S3938,Biogas-,reference,reference,PV-,reference,reference,Learning-,reference,reference,PriceWood+,reference
S3939,Biogas-,reference,reference,PV-,reference,reference,Learning-,reference,reference,PriceWood+,COP+
S3940,Biogas-,reference,reference,PV-,reference,reference,Learning-,reference,PriceGas+,reference,reference
S3941,Biogas-,reference,reference,PV-,reference,reference,Learning-,reference,PriceGas+,reference,COP+
S3942,Biogas-,reference,reference,PV-,reference,reference,Learning-,reference,PriceGas+,PriceWood+,reference
S3943,Biogas-,reference,reference,PV-,reference,reference,Learning-,reference,PriceGas+,PriceWood+,COP+
S3944,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity+,reference,reference,reference
S3945,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity+,reference,reference,COP+
S3946,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity+,reference,PriceWood+,reference
S3947,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity+,reference,PriceWood+,COP+
S3948,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity+,PriceGas+,reference,reference
S3949,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity+,PriceGas+,reference,COP+
S3950,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S3951,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S3952,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity-,reference,reference,reference
S3953,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity-,reference,reference,COP+
S3954,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity-,reference,PriceWood+,reference
S3955,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity-,reference,PriceWood+,COP+
S3956,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity-,PriceGas+,reference,reference
S3957,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity-,PriceGas+,reference,COP+
S3958,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S3959,Biogas-,reference,reference,PV-,reference,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S3960,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,reference,reference,reference,reference
S3961,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,reference,reference,reference,COP+
S3962,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,reference,reference,PriceWood+,reference
S3963,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,reference,reference,PriceWood+,COP+
S3964,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,reference,PriceGas+,reference,reference
S3965,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,reference,PriceGas+,reference,COP+
S3966,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,reference,PriceGas+,PriceWood+,reference
S3967,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,reference,PriceGas+,PriceWood+,COP+
S3968,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity+,reference,reference,reference
S3969,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity+,reference,reference,COP+
S3970,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity+,reference,PriceWood+,reference
S3971,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity+,reference,PriceWood+,COP+
S3972,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity+,PriceGas+,reference,reference
S3973,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity+,PriceGas+,reference,COP+
S3974,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,reference
S3975,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S3976,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity-,reference,reference,reference
S3977,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity-,reference,reference,COP+
S3978,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity-,reference,PriceWood+,reference
S3979,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity-,reference,PriceWood+,COP+
S3980,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity-,PriceGas+,reference,reference
S3981,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity-,PriceGas+,reference,COP+
S3982,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,reference
S3983,Biogas-,reference,reference,PV-,reference,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S3984,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,reference,reference,reference,reference
S3985,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,reference,reference,reference,COP+
S3986,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,reference,reference,PriceWood+,reference
S3987,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,reference,reference,PriceWood+,COP+
S3988,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,reference,PriceGas+,reference,reference
S3989,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,reference,PriceGas+,reference,COP+
S3990,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,reference
S3991,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,COP+
S3992,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity+,reference,reference,reference
S3993,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity+,reference,reference,COP+
S3994,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,reference
S3995,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,COP+
S3996,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,reference
S3997,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,COP+
S3998,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S3999,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S4000,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity-,reference,reference,reference
S4001,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity-,reference,reference,COP+
S4002,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,reference
S4003,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,COP+
S4004,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,reference
S4005,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,COP+
S4006,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S4007,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S4008,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,reference,reference,reference,reference
S4009,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,reference,reference,reference,COP+
S4010,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,reference,reference,PriceWood+,reference
S4011,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,reference,reference,PriceWood+,COP+
S4012,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,reference,PriceGas+,reference,reference
S4013,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,reference,PriceGas+,reference,COP+
S4014,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,reference,PriceGas+,PriceWood+,reference
S4015,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,reference,PriceGas+,PriceWood+,COP+
S4016,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity+,reference,reference,reference
S4017,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity+,reference,reference,COP+
S4018,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,reference
S4019,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,COP+
S4020,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,reference
S4021,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,COP+
S4022,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S4023,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S4024,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity-,reference,reference,reference
S4025,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity-,reference,reference,COP+
S4026,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,reference
S4027,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,COP+
S4028,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,reference
S4029,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+
S4030,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S4031,Biogas-,reference,reference,PV-,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S4032,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,reference,reference,reference,reference
S4033,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,reference,reference,reference,COP+
S4034,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,reference,reference,PriceWood+,reference
S4035,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,reference,reference,PriceWood+,COP+
S4036,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,reference,PriceGas+,reference,reference
S4037,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,reference,PriceGas+,reference,COP+
S4038,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,reference,PriceGas+,PriceWood+,reference
S4039,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,reference,PriceGas+,PriceWood+,COP+
S4040,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity+,reference,reference,reference
S4041,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity+,reference,reference,COP+
S4042,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity+,reference,PriceWood+,reference
S4043,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity+,reference,PriceWood+,COP+
S4044,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity+,PriceGas+,reference,reference
S4045,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity+,PriceGas+,reference,COP+
S4046,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity+,PriceGas+,PriceWood+,reference
S4047,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S4048,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity-,reference,reference,reference
S4049,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity-,reference,reference,COP+
S4050,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity-,reference,PriceWood+,reference
S4051,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity-,reference,PriceWood+,COP+
S4052,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity-,PriceGas+,reference,reference
S4053,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity-,PriceGas+,reference,COP+
S4054,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity-,PriceGas+,PriceWood+,reference
S4055,Biogas-,reference,reference,PV-,Sufficiency,reference,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S4056,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,reference,reference,reference,reference
S4057,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,reference,reference,reference,COP+
S4058,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,reference,reference,PriceWood+,reference
S4059,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,reference,reference,PriceWood+,COP+
S4060,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,reference,PriceGas+,reference,reference
S4061,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,reference,PriceGas+,reference,COP+
S4062,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,reference,PriceGas+,PriceWood+,reference
S4063,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,reference,PriceGas+,PriceWood+,COP+
S4064,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity+,reference,reference,reference
S4065,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity+,reference,reference,COP+
S4066,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity+,reference,PriceWood+,reference
S4067,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity+,reference,PriceWood+,COP+
S4068,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,reference,reference
S4069,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,reference,COP+
S4070,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S4071,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S4072,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity-,reference,reference,reference
S4073,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity-,reference,reference,COP+
S4074,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity-,reference,PriceWood+,reference
S4075,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity-,reference,PriceWood+,COP+
S4076,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,reference,reference
S4077,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,reference,COP+
S4078,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S4079,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S4080,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,reference,reference,reference,reference
S4081,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,reference,reference,reference,COP+
S4082,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,reference,reference,PriceWood+,reference
S4083,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,reference,reference,PriceWood+,COP+
S4084,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,reference,PriceGas+,reference,reference
S4085,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,reference,PriceGas+,reference,COP+
S4086,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,reference,PriceGas+,PriceWood+,reference
S4087,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,reference,PriceGas+,PriceWood+,COP+
S4088,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity+,reference,reference,reference
S4089,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity+,reference,reference,COP+
S4090,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity+,reference,PriceWood+,reference
S4091,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity+,reference,PriceWood+,COP+
S4092,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,reference,reference
S4093,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,reference,COP+
S4094,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S4095,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S4096,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity-,reference,reference,reference
S4097,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity-,reference,reference,COP+
S4098,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity-,reference,PriceWood+,reference
S4099,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity-,reference,PriceWood+,COP+
S4100,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,reference,reference
S4101,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,reference,COP+
S4102,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S4103,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S4104,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,reference,reference,reference,reference
S4105,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,reference,reference,reference,COP+
S4106,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,reference,reference,PriceWood+,reference
S4107,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,reference,reference,PriceWood+,COP+
S4108,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,reference,PriceGas+,reference,reference
S4109,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,reference,PriceGas+,reference,COP+
S4110,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,reference,PriceGas+,PriceWood+,reference
S4111,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,reference,PriceGas+,PriceWood+,COP+
S4112,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity+,reference,reference,reference
S4113,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity+,reference,reference,COP+
S4114,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity+,reference,PriceWood+,reference
S4115,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity+,reference,PriceWood+,COP+
S4116,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,reference,reference
S4117,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,reference,COP+
S4118,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,reference
S4119,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S4120,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity-,reference,reference,reference
S4121,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity-,reference,reference,COP+
S4122,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity-,reference,PriceWood+,reference
S4123,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity-,reference,PriceWood+,COP+
S4124,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,reference,reference
S4125,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,reference,COP+
S4126,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,reference
S4127,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S4128,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,reference,reference,reference,reference
S4129,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,reference,reference,reference,COP+
S4130,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,reference,reference,PriceWood+,reference
S4131,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,reference,reference,PriceWood+,COP+
S4132,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,reference,reference
S4133,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,reference,COP+
S4134,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,reference
S4135,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,COP+
S4136,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,reference,reference
S4137,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,reference,COP+
S4138,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,reference
S4139,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,COP+
S4140,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,reference
S4141,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,COP+
S4142,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S4143,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S4144,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,reference,reference
S4145,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,reference,COP+
S4146,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,reference
S4147,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,COP+
S4148,Biogas-,reference,reference,PV-,Sufficiency,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,reference
